Type,PDB,Metal,Angle,Degrees,atomNames,resNames,resNums,chains,occs,Environment
Mineral,Joteite_0019980.Cu_19_19_A.spl.pdb,CU,O_CU_O,85.39,O-H_CU_O2,UNK_UNK_UNK,30_19_45, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,95.77,O10_CU_O1,UNK_UNK_UNK,71_21_55, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Jacquesdietrichite_0007064.Cu_6_6_A.oct.pdb,CU,O_CU_O,89.08,O3_CU_O1,UNK_UNK_UNK,9_6_16, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Corkite_0014810.Fe_45_45_A.irr.pdb,FE,O_FE_O,88.57,O2S_FE_O-H2,UNK_UNK_UNK,37_45_2, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,88.64,O1_FE_O2,UNK_UNK_UNK,53_1_62, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Corkite_0014810.Fe_20_20_A.oct.pdb,FE,O_FE_O,88.56,O2S_FE_O-H2,UNK_UNK_UNK,34_20_31, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Pyrobelonite_0000071.V_2_2_A.tet.pdb,V,O_V_O,107.05,O2_V_O3,UNK_UNK_UNK,4_2_5, _A_ ,1.0_1.0_1.0,V1O4
Mineral,Corkite_0014810.Fe_45_45_A.irr.pdb,FE,O_FE_O,89.94,O-H2_FE_O-H2,UNK_UNK_UNK,17_45_2, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Bornite_0003822.Fe_18_18_A.tet.pdb,FE,S_FE_S,109.49,S_FE_S,UNK_UNK_UNK,5_18_4, _A_ ,1.0_1.0_1.0,FE1S4
Mineral,Eucairite_0010578.Cu_0_0_A.bvp.pdb,CU,SE_CU_SE,92.24,SE_CU_SE,UNK_UNK_UNK,14_0_16, _A_ ,1.0_1.0_1.0,CU1SE4
Mineral,Corkite_0014810.Fe_20_20_A.oct.pdb,FE,O_FE_O,88.59,O2S_FE_O-H2,UNK_UNK_UNK,34_20_32, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Kamiokite_0010022.Mo_27_27_A.pyv.pdb,MO,O_MO_O,95.36,O4_MO_O4,UNK_UNK_UNK,18_27_21, _A_ ,1.0_1.0_1.0,MO1O4
Mineral,Joteite_0019980.Cu_19_19_A.spl.pdb,CU,O_CU_O,94.27,O-H_CU_O1,UNK_UNK_UNK,30_19_22, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,179.98,O10_CU_O10,UNK_UNK_UNK,71_21_70, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Jacquesdietrichite_0007064.Cu_6_6_A.oct.pdb,CU,O_CU_O,95.8,O4_CU_O5,UNK_UNK_UNK,17_6_11, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Murdochite_0009907.Cu_23_23_A.irr.pdb,CU,O_CU_O,88.65,O_CU_O,UNK_UNK_UNK,10_23_13, _A_ ,1.0_1.0_1.0,CU1O2
Mineral,Chalcophanite_0001204.Mn_5_5_A.oct.pdb,MN,O_MN_O,91.71,O1_MN_O2,UNK_UNK_UNK,6_5_4, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,173.75,O1_FE_O5,UNK_UNK_UNK,53_1_4, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Corkite_0014810.Fe_20_20_A.oct.pdb,FE,O_FE_O,96.06,O2S_FE_O-H1,UNK_UNK_UNK,34_20_22, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Joteite_0019980.Cu_19_19_A.spl.pdb,CU,O_CU_O,93.97,O-H_CU_O2,UNK_UNK_UNK,31_19_45, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Eucairite_0010578.Cu_0_0_A.bvp.pdb,CU,SE_CU_SE,108.55,SE_CU_SE,UNK_UNK_UNK,14_0_13, _A_ ,1.0_1.0_1.0,CU1SE4
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,72.37,O_MN_O,UNK_UNK_UNK,32_13_18, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Pyrobelonite_0000071.V_2_2_A.tet.pdb,V,O_V_O,112.35,O1_V_O4,UNK_UNK_UNK,3_2_6, _A_ ,1.0_1.0_1.0,V1O4
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,176.99,O-H6_FE_O-H7,UNK_UNK_UNK,14_1_5, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Bornite_0003822.Fe_18_18_A.tet.pdb,FE,S_FE_S,109.49,S_FE_S,UNK_UNK_UNK,5_18_12, _A_ ,1.0_1.0_1.0,FE1S4
Mineral,Jacquesdietrichite_0007064.Cu_6_6_A.oct.pdb,CU,O_CU_O,88.46,O4_CU_O1,UNK_UNK_UNK,17_6_16, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Corkite_0014810.Fe_20_20_A.oct.pdb,FE,O_FE_O,96.1,O2S_FE_O-H1,UNK_UNK_UNK,34_20_16, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Kamiokite_0010022.Mo_27_27_A.pyv.pdb,MO,O_MO_O,100.6,O4_MO_O1,UNK_UNK_UNK,18_27_4, _A_ ,1.0_1.0_1.0,MO1O4
Mineral,Joteite_0019980.Cu_19_19_A.spl.pdb,CU,O_CU_O,86.08,O-H_CU_O1,UNK_UNK_UNK,31_19_22, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Chalcophanite_0001204.Mn_5_5_A.oct.pdb,MN,O_MN_O,83.58,O1_MN_O1,UNK_UNK_UNK,6_5_33, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,179.97,O7_CU_O7,UNK_UNK_UNK,65_21_61, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Bornite_0003822.Fe_18_18_A.tet.pdb,FE,S_FE_S,109.45,S_FE_S,UNK_UNK_UNK,63_18_4, _A_ ,1.0_1.0_1.0,FE1S4
Mineral,Jacquesdietrichite_0007064.Cu_6_6_A.oct.pdb,CU,O_CU_O,94.04,O5_CU_O1,UNK_UNK_UNK,11_6_16, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Auricupride_0011894.Cu_40_40_A.irr.pdb,CU,AU_CU_AU,90.0,AU_CU_AU,UNK_UNK_UNK,10_40_2, _A_ ,1.0_1.0_1.0,CU1AU2
Mineral,Corkite_0014810.Fe_20_20_A.oct.pdb,FE,O_FE_O,179.05,O2S_FE_O2P,UNK_UNK_UNK,34_20_46, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,76.66,O-H6_FE_O2,UNK_UNK_UNK,14_1_62, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Eucairite_0010578.Cu_0_0_A.bvp.pdb,CU,SE_CU_SE,92.25,SE_CU_SE,UNK_UNK_UNK,14_0_15, _A_ ,1.0_1.0_1.0,CU1SE4
Mineral,Joteite_0019980.Cu_19_19_A.spl.pdb,CU,O_CU_O,177.15,O2_CU_O1,UNK_UNK_UNK,45_19_22, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,161.93,O_MN_O,UNK_UNK_UNK,32_13_44, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Pyrobelonite_0000071.V_2_2_A.tet.pdb,V,O_V_O,112.36,O1_V_O3,UNK_UNK_UNK,3_2_5, _A_ ,1.0_1.0_1.0,V1O4
Mineral,Chalcophanite_0001204.Mn_5_5_A.oct.pdb,MN,O_MN_O,173.03,O3_MN_O2,UNK_UNK_UNK,7_5_4, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,90.46,O7_CU_O1,UNK_UNK_UNK,65_21_5, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Shigaite_0005480.Mn_24_24_A.oct.pdb,MN,O_MN_O,170.36,O-H1_MN_O-H1,UNK_UNK_UNK,37_24_30, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Sidorenkite_0015607.Mn_1_1_A.irr.pdb,MN,O_MN_O,83.34,O5_MN_O1,UNK_UNK_UNK,30_1_4, _A_ ,1.0_1.0_1.0,MN1C1O6
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,86.27,O-H6_FE_O5,UNK_UNK_UNK,14_1_4, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Eucairite_0010578.Cu_0_0_A.bvp.pdb,CU,SE_CU_SE,92.24,SE_CU_SE,UNK_UNK_UNK,16_0_13, _A_ ,1.0_1.0_1.0,CU1SE4
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,71.11,O_MN_O,UNK_UNK_UNK,32_13_35, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Pyrobelonite_0000071.V_2_2_A.tet.pdb,V,O_V_O,112.05,O4_V_O3,UNK_UNK_UNK,6_2_5, _A_ ,1.0_1.0_1.0,V1O4
Mineral,Kamiokite_0010022.Mo_27_27_A.pyv.pdb,MO,O_MO_O,91.38,O4_MO_O3,UNK_UNK_UNK,18_27_15, _A_ ,1.0_1.0_1.0,MO1O4
Mineral,Chalcophanite_0001204.Mn_5_5_A.oct.pdb,MN,O_MN_O,95.64,O3_MN_O1,UNK_UNK_UNK,7_5_33, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Corkite_0014810.Fe_20_20_A.oct.pdb,FE,O_FE_O,89.96,O-H2_FE_O-H2,UNK_UNK_UNK,31_20_32, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Sidorenkite_0015607.Mn_1_1_A.irr.pdb,MN,C_MN_O,28.11,C_MN_O2,UNK_UNK_UNK,3_1_5, _A_ ,1.0_1.0_1.0,MN1C1O6
Mineral,Bornite_0003822.Fe_18_18_A.tet.pdb,FE,S_FE_S,109.45,S_FE_S,UNK_UNK_UNK,63_18_12, _A_ ,1.0_1.0_1.0,FE1S4
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,100.48,O-H7_FE_O2,UNK_UNK_UNK,5_1_62, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Shigaite_0005480.Mn_24_24_A.oct.pdb,MN,O_MN_O,73.09,O-H1_MN_O-H2,UNK_UNK_UNK,37_24_28, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Wherryite_0005365.Cu_21_21_A.oct.pdb,CU,O_CU_O,89.54,O7_CU_O1,UNK_UNK_UNK,65_21_55, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Deloryite_0012779.Cu1_24_24_A.irr.pdb,CU,O_CU_O,82.27,O-H2_CU1_O-H2,UNK_UNK_UNK,45_24_19, _A_ ,1.0_1.0_1.0,CU1O2
Mineral,Djerfisherite_0006153.Fe_67_67_A.trv.pdb,FE,S_FE_S,107.2,S3_FE_S2,UNK_UNK_UNK,125_67_153, _A_ ,1.0_1.0_1.0,FE1S2
Mineral,Kamiokite_0010022.Mo_27_27_A.pyv.pdb,MO,O_MO_O,100.61,O4_MO_O1,UNK_UNK_UNK,21_27_4, _A_ ,1.0_1.0_1.0,MO1O4
Mineral,Molybdenite_0011823.Mo_5_5_A.irr.pdb,MO,S_MO_S,78.37,S_MO_S,UNK_UNK_UNK,11_5_9, _A_ ,1.0_1.0_1.0,MO1S2
Mineral,Chalcophanite_0001204.Mn_5_5_A.oct.pdb,MN,O_MN_O,82.89,O2_MN_O1,UNK_UNK_UNK,4_5_33, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Sidorenkite_0015607.Mn_1_1_A.irr.pdb,MN,C_MN_O,80.14,C_MN_O4,UNK_UNK_UNK,3_1_7, _A_ ,1.0_1.0_1.0,MN1C1O6
Mineral,Eucairite_0010578.Cu_0_0_A.bvp.pdb,CU,SE_CU_SE,172.31,SE_CU_SE,UNK_UNK_UNK,16_0_15, _A_ ,1.0_1.0_1.0,CU1SE4
Mineral,Sewardite_0005788.Fe_1_1_A.oct.pdb,FE,O_FE_O,92.6,O-H7_FE_O5,UNK_UNK_UNK,5_1_4, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Calderite_0018998.Mn_13_13_A.cub.pdb,MN,O_MN_O,123.36,O_MN_O,UNK_UNK_UNK,48_13_17, _A_ ,1.0_1.0_1.0,MN1O8
Mineral,Shigaite_0005480.Mn_24_24_A.oct.pdb,MN,O_MN_O,100.89,O-H1_MN_O-H3,UNK_UNK_UNK,37_24_26, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Ruizite_0019985.Mn_0_0_A.oct.pdb,MN,O_MN_O,99.75,O1_MN_O8,UNK_UNK_UNK,40_0_53, _A_ ,1.0_1.0_1.0,MN1O6
Mineral,Corkite_0014810.Fe_20_20_A.oct.pdb,FE,O_FE_O,91.98,O-H2_FE_O-H1,UNK_UNK_UNK,31_20_22, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Bornite_0003822.Fe_18_18_A.tet.pdb,FE,S_FE_S,109.49,S_FE_S,UNK_UNK_UNK,4_18_12, _A_ ,1.0_1.0_1.0,FE1S4
