Mineral_Name,Mineral_Name_plain,Mineral_Name_(HTML),Structural_Groupname,Valence_Elements,Oldest_Known_Age_Ma,Fe_AMCSD,Co_AMCSD,Cu_AMCSD,Mn_AMCSD,Mo_AMCSD,Ni_AMCSD,V_AMCSD,W_AMCSD,Zn_AMCSD,Retrieved(Y/N)
,Manganostibite,Manganostibite,,Mn^2+ Sb^5+ As^5+ O,1898,NA,,,,,,,,,
,Orthopinakiolite,Orthopinakiolite,,Mg Mn^3+ O B,1898,NA,,,,,,,,,
,Parwelite,Parwelite,,Mn^2+ Sb^5+ As^5+ Si O,1898,NA,,,,,,,,,
,Philolithite,Philolithite,,Pb^2+ O Mn^2+ S^6+ C Cl H,1898,NA,,,,,,,,,
,Pinakiolite,Pinakiolite,,Mg Mn^2+ Mn^3+ Sb^5+ O B,1898,NA,,,,,,,,,
,Roeblingite,Roeblingite,,Pb Ca Mn^2+ Si O S H,1898,NA,,,,,,,,,
,Synadelphite,Synadelphite,,Mn^2+ As^3+ O As^5+ H,1898,NA,,,,,,,,,
,Takeuchiite,Tak&#233;uchiite,,Mg Mn^3+ O B,1898,NA,,,,,,,,,
,Trigonite,Trigonite,,Pb^2+ Mn^2+ As^3+ O H,1898,NA,,,,,,,,,
,Akrochordite,Akrochordite,,Mn^2+ As^5+ O H,1890,NA,,,,,,,,,
,Kentrolite,Kentrolite,,Pb^2+ Mn^3+ O Si,1890,NA,,,,,,,,,
,Langbanite,L&#229;ngbanite,,Mn^2+ Mn^3+ Sb^5+ O Si,1890,NA,,,,,,,,,
,Quenselite,Quenselite,,Pb^2+ Mn^3+ O H,1890,NA,,,,,,,,,
,Iriginite,Iriginite,,U^6+ O Mo^6+ H,1880.7,NA,,,,,,,,,
,Birchite,Birchite,,Cd^2+ Cu^2+ P^5+ O S^6+ H,1861,NA,,,,,,,,,
,Cumengeite,Cumengeite,,Pb^2+ Cu^2+ Cl O H,1861,NA,,,,,,,,,
,Edwardsite,Edwardsite,,Cu^2+ Cd^2+ S^6+ O H,1861,NA,,,,,,,,,
,Kipushite,Kipushite,,Cu^2+ P O H,1861,NA,,,,,,,,,
,Liversidgeite,Liversidgeite,,Zn^2+ P^5+ O H,1861,NA,,,,,,,,,
,Niedermayrite,Niedermayrite,,Cu^2+ Cd^2+ S^6+ O H,1861,NA,,,,,,,,,
,Raspite,Raspite,,Pb W O,1861,NA,,,,,,,,,
,Scholzite,Scholzite,,Ca Zn^2+ P^5+ O H,1861,NA,,,,,,,,,
,Zdenekite,Zden&#277;kite,,Na Pb^2+ Cu^2+ As^5+ O Cl H,1861,NA,,,,,,,,,
,Lisiguangite,Lisiguangite,,Cu Pt Bi S,1851,NA,,,,,,,,,
,Chalcomenite,Chalcomenite,,Cu^2+ Se^4+ O H,1850,NA,,,,,,,,,
,Cuprosklodowskite,Cuprosklodowskite,,Cu^2+ U^6+ O Si H,1850,NA,,,,,,,,,
,Metazeunerite,Metazeunerite,,Cu^2+ U^6+ O As^5+ H,1850,NA,,,,,,,,,
,Chalconatronite,Chalconatronite,,Na Cu^2+ C O H,1847,NA,,,,,,,,,
,Melanovanadite,Melanovanadite,,Ca V^4+ V^5+ O H,1840,NA,,,,,,,,,
,Harstigite,Harstigite,,Ca Mn^2+ Be Si O H,1825,NA,,,,,,,,,
,Sverigeite,Sverigeite,,Na Be Mn^2+ Sn Si O H,1825,NA,,,,,,,,,
,Vayrynenite,V&#228;yrynenite,,Mn^2+ Be P O H,1820,NA,,,,,,,,,
,Switzerite,Switzerite,,Mn^2+ P O H,1806,NA,,,,,,,,,
,Dioptase,Dioptase,,Cu^2+ Si O H,1800,NA,,,,,,,,,
,Lautite,Lautite,,Cu As S,1800,NA,,,,,,,,,
,Metaswitzerite,Metaswitzerite,,Mn^2+ P O H,1800,NA,,,,,,,,,
,Nordstromite,Nordstr&#246;mite,,Pb Cu Bi S,1800,NA,,,,,,,,,
,Oursinite,Oursinite,,Co^2+ U^6+ O Si H,1800,NA,,,,,,,,,
,Patronite,Patr&#243;nite,,V S,1800,NA,,,,,,,,,
,Roubaultite,Roubaultite,,Cu^2+ O U^6+ C H,1800,NA,,,,,,,,,
,Sengierite,Sengierite,,Cu^2+ U^6+ O V^5+ H,1800,NA,,,,,,,,,
,Skinnerite,Skinnerite,,Cu Sb^3+ S^2-,1800,NA,,,,,,,,,
,Vandenbrandeite,Vandenbrandeite,,Cu^2+ U^6+ O H,1800,NA,,,,,,,,,
,Bracewellite,Bracewellite,,Cr^3+ O H,1795,NA,,,,,,,,,
,Francisite,Francisite,,Cu^2+ Bi^3+ Se^4+ O Cl,1795,NA,,,,,,,,,
,Namibite,Namibite,,Cu^2+ Bi^3+ O V^5+ H,1795,NA,,,,,,,,,
,Nissonite,Nissonite,,Cu^2+ Mg P^5+ O H,1795,NA,,,,,,,,,
,Seamanite,Seamanite,,Mn^2+ B P O H,1795,NA,,,,,,,,,
,Waterhouseite,Waterhouseite,,Mn^2+ P^5+ O H,1795,NA,,,,,,,,,
