Mineral_Name,Mineral_Name_plain,Mineral_Name_(HTML),Structural_Groupname,Valence_Elements,Oldest_Known_Age_Ma,Fe_AMCSD,Co_AMCSD,Cu_AMCSD,Mn_AMCSD,Mo_AMCSD,Ni_AMCSD,V_AMCSD,W_AMCSD,Zn_AMCSD,Retrieved(Y/N)
,Theoparacelsite,Theoparacelsite,,Cu^2+ O H As^5+,251,NA,,,,,,,,,
,Tillmannsite,Tillmannsite,,Hg Ag V^5+ O,251,NA,,,,,,,,,
,Gabrielite,Gabrielite,,Tl Ag Cu As S,245,NA,,,,,,,,,
,Wallisite,Wallisite,,Cu Pb Tl As S,245,NA,,,,,,,,,
,Mahnertite,Mahnertite,,Na Ca K Cu^2+ As^5+ O Cl H,225,NA,,,,,,,,,
,Haradaite,Haradaite,,Sr V^4+ Si O,201,NA,,,,,,,,,
,Aerugite,Aerugite,,Ni^2+ As^5+ O,200,NA,,,,,,,,,
,Paganoite,Paganoite,,Ni^2+ Bi^3+ O As^5+,200,NA,,,,,,,,,
,Petewilliamsite,Petewilliamsite,,Ni^2+ Co^2+ As^5+ O,200,NA,,,,,,,,,
,Teineite,Teineite,,Cu^2+ Te^4+ O H,180,NA,,,,,,,,,
,Juangodoyite,Juangodoyite,,Na Cu^2+ C^4+ O,174,NA,,,,,,,,,
,Santarosaite,Santarosaite,,Cu^2+ B O,174,NA,,,,,,,,,
,Whelanite,Whelanite,,Cu^2+ Ca Si O H C,145.5,NA,,,,,,,,,
,Choloalite,Choloalite,,Pb^2+ Ca Cu^2+ Sb^5+ Te^4+ O Cl^1-,145,NA,,,,,,,,,
,Muirite,Muirite,,Ba Ca Mn^2+ Ti^4+ Si O H,145,NA,,,,,,,,,
,Quetzalcoatlite,Quetzalcoatlite,,Cu^2+ Zn^2+ Te^6+ O H Ag^1+ Pb^2+ Cl^1-,145,NA,,,,,,,,,
,Spiroffite,Spiroffite,,Mn^2+ Te^4+ O,145,NA,,,,,,,,,
,Verplanckite,Verplanckite,,Ba Mn^2+ Si O H Cl,145,NA,,,,,,,,,
,Charoite,Charoite,,K Sr Ba Mn^2+ Ca Na Si O H F,144,NA,,,,,,,,,
,Gaultite,Gaultite,,Na Zn^2+ Si O H,124,NA,,,,,,,,,
,Reederite-(Y),Reederite-(Y),,Na Mn^2+ Y^3+ C^4+ O S^6+ F Cl,124,NA,,,,,,,,,
,Steedeite,Steedeite,,Na Mn^2+ Si B O H,124,NA,,,,,,,,,
,Nagashimalite,Nagashimalite,,Ba V^3+ Ti^4+ O H B Si Cl,122,NA,,,,,,,,,
,Bobjonesite,Bobjonesite,,V^4+ O S H,117,NA,,,,,,,,,
,Ansermetite,Ansermetite,,Mn^2+ V^5+ O H,100,NA,,,,,,,,,
,Bassoite,Bassoite,,Sr V^4+ O H,100,NA,,,,,,,,,
,Cavoite,Cavoite,,Ca V^4+ O,100,NA,,,,,,,,,
,Jensenite,Jensenite,,Cu^2+ Te^6+ O H,100,NA,,,,,,,,,
,Nabiasite,Nabiasite,,Ba Mn^2+ V^5+ O H,100,NA,,,,,,,,,
,Reppiaite,Reppiaite,,Mn^2+ V^5+ O H,100,NA,,,,,,,,,
,Scheuchzerite,Scheuchzerite,,Na Mn^2+ Si V^5+ O H,100,NA,,,,,,,,,
,Tamaite,Tamaite,,Ca K Na Mn^2+ Si Al O H,100,NA,,,,,,,,,
,Sherwoodite,Sherwoodite,,Ca Al V^4+ V^5+ O H,96,NA,,,,,,,,,
,Turanite,Turanite,,Cu^2+ V^5+ O H,81.1,NA,,,,,,,,,
,Padĕraite,Pad&#277;raite,,Cu Ag Pb Bi S,80.93,NA,,,,,,,,,
,Kobyashevite,Kobyashevite,,Cu^2+ S^6+ O H,66,NA,,,,,,,,,
,George-ericksenite,George-ericksenite,,Na Ca Mg I^5+ O Cr^6+ H,64,NA,,,,,,,,,
,Jimboite,Jimboite,,Mn^2+ B O,63.5,NA,,,,,,,,,
,Papagoite,Papagoite,,Ca Cu^2+ Al Si O H,63,NA,,,,,,,,,
,Szenicsite,Szenicsite,,Cu^2+ Mo^6+ O H,61.6,NA,,,,,,,,,
,Markascherite,Markascherite,,Cu^2+ Mo^6+ O H,61,NA,,,,,,,,,
,Pinalite,Pinalite,,Pb W O Cl,56,NA,,,,,,,,,
,Denningite,Denningite,,Ca Mn^2+ Te^4+ O,48,NA,,,,,,,,,
,Margaritasite,Margaritasite,,Cs^1+ U^6+ O V^5+ H,44.95,NA,,,,,,,,,
,Bellingerite,Bellingerite,,Cu^2+ I^5+ O H,35,NA,,,,,,,,,
,Salesite,Salesite,,Cu^2+ I^5+ O H,35,NA,,,,,,,,,
,Juabite,Juabite,,Ca Cu^2+ Te^4+ O As^5+ H,32,NA,,,,,,,,,
,Leisingite,Leisingite,,Cu^2+ Mg Te^6+ O H,32,NA,,,,,,,,,
,Sidwillite,Sidwillite,,Mo^6+ O H,30,NA,,,,,,,,,
,Bannermanite,Bannermanite,,Na K V^4+ V^5+ O,28,NA,,,,,,,,,
,Pellouxite,Pellouxite,,Cu Ag Pb Sb S Cl O,27,NA,,,,,,,,,
,Stibivanite,Stibivanite,,Sb^3+ V^4+ O,27,NA,,,,,,,,,
,Domerockite,Domerockite,,Cu^2+ As^5+ O H,25,NA,,,,,,,,,
,Balyakinite,Balyakinite,,Cu^2+ Te^4+ O,23,NA,,,,,,,,,
,Bobkingite,Bobkingite,,Cu^2+ Cl O H,23,NA,,,,,,,,,
,Georgerobinsonite,Georgerobinsonite,,Pb^2+ Cr^6+ O H F Cl,22.5,NA,,,,,,,,,
,Mammothite,Mammothite,,Pb^2+ Cu^2+ Al Sb^5+ O S^6+ Cl H,22.5,NA,,,,,,,,,
,Yedlinite,Yedlinite,,Pb^2+ Cr^3+ Cl^1- O H,22.5,NA,,,,,,,,,
,Montetrisaite,Montetrisaite,,Cu^2+ S^6+ O H,20.2,NA,,,,,,,,,
,Dzierzanowskite,Dzier&#380;anowskite,,Ca Cu S,16,NA,,,,,,,,,
,Halamishite,Halamishite,,Ni P,16,NA,,,,,,,,,
,Mitscherlichite,Mitscherlichite,,K Cu^2+ Cl H O,13.6,NA,,,,,,,,,
,Catamarcaite,Catamarcaite,,Cu Ge W S,9,NA,,,,,,,,,
,Deanesmithite,Deanesmithite,,Hg^1+ Hg^2+ S^2- O Cr^6+,5.3,NA,,,,,,,,,
,Edoylerite,Edoylerite,,Hg^2+ Cr^6+ O S^2-,5.3,NA,,,,,,,,,
,Szymanskiite,Szyma&#324;skiite,,Hg^1+ Ni^2+ C^4+ O H,5.3,NA,,,,,,,,,
,Wattersite,Wattersite,,Hg^1+ Hg^2+ O Cr^6+,5.3,NA,,,,,,,,,
,Ammineite,Ammineite,,Cu^2+ Cl N^3- H,3.3,NA,,,,,,,,,
,Rajite,Rajite,,Cu^2+ Te^4+ O,1.79,NA,,,,,,,,,
,Litidionite,Litidionite,,K Na Cu^2+ Si O,0.4,NA,,,,,,,,,
,Tschortnerite,Tsch&#246;rtnerite,,Ca K Sr Ba Cu^2+ Al Si O H,0.4,NA,,,,,,,,,
,Allochalcoselite,Allochalcoselite,,Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl,3.60E-05,NA,,,,,,,,,
,Averievite,Averievite,,Cu^2+ O V^5+ Cl^1-,3.60E-05,NA,,,,,,,,,
,Burnsite,Burnsite,,K Cd^2+ Cu^2+ O Se^4+ Cl,3.60E-05,NA,,,,,,,,,
,Chloromenite,Chloromenite,,Cu^2+ O Se^4+ Cl,3.60E-05,NA,,,,,,,,,
,Chrysothallite,Chrysothallite,,K Cu^2+ Tl^3+ Cl^1- O H,3.60E-05,NA,,,,,,,,,
,Coparsite,Coparsite,,Cu^2+ O As^5+ Cl,3.60E-05,NA,,,,,,,,,
,Ericlaxmanite,Ericlaxmanite,,Cu^2+ O As^5+,3.60E-05,NA,,,,,,,,,
,Evdokimovite,Evdokimovite,,Tl^1+ V^4+ O S^6+ H,3.60E-05,NA,,,,,,,,,
,Georgbokiite,Georgbokiite,,Cu^2+ O Se^4+ Cl,3.60E-05,NA,,,,,,,,,
,Kamchatkite,Kamchatkite,,K Cu^2+ O S^6+ Cl,3.60E-05,NA,,,,,,,,,
,Karpovite,Karpovite,,Tl^1+ V^4+ O S^6+ H,3.60E-05,NA,,,,,,,,,
,Kozyrevskite,Kozyrevskite,,Cu^2+ O As^5+,3.60E-05,NA,,,,,,,,,
,Leningradite,Leningradite,,Pb^2+ Cu^2+ V^5+ O Cl^1-,3.60E-05,NA,,,,,,,,,
,Mcbirneyite,Mcbirneyite,,Cu^2+ V^5+ O,3.60E-05,NA,,,,,,,,,
,Melanothallite,Melanothallite,,Cu^2+ O Cl,3.60E-05,NA,,,,,,,,,
,Nabokoite,Nabokoite,,Cu^2+ Te^4+ O S^6+ K Cl^1-,3.60E-05,NA,,,,,,,,,
,Nicksobolevite,Nicksobolevite,,Cu^2+ Se^4+ O Cl^1-,3.60E-05,NA,,,,,,,,,
,Parageorgbokiite,Parageorgbokiite,,Cu^2+ O Se^4+ Cl,3.60E-05,NA,,,,,,,,,
,Parawulffite,Parawulffite,,K Na Cu^2+ S^6+ O,3.60E-05,NA,,,,,,,,,
,Pauflerite,Pauflerite,,V^4+ O S^6+,3.60E-05,NA,,,,,,,,,
,Ponomarevite,Ponomarevite,,K Cu^2+ O Cl,3.60E-05,NA,,,,,,,,,
,Popovite,Popovite,,Cu^2+ O As^5+,3.60E-05,NA,,,,,,,,,
,Prewittite,Prewittite,,K Pb^2+ Zn^2+ Cu^2+ O Se^4+ Cl^1-,3.60E-05,NA,,,,,,,,,
,Pseudolyonsite,Pseudolyonsite,,Cu^2+ V^5+ O,3.60E-05,NA,,,,,,,,,
,Sofiite,Sofiite,,Zn^2+ Se^4+ O Cl^1-,3.60E-05,NA,,,,,,,,,
,Starovaite,Starovaite,,K Cu^2+ O V^5+,3.60E-05,NA,,,,,,,,,
,Urusovite,Urusovite,,Cu^2+ Al O As^5+,3.60E-05,NA,,,,,,,,,
,Wulffite,Wulffite,,K Na Cu^2+ S^6+ O,3.60E-05,NA,,,,,,,,,
,Yaroshevskite,Yaroshevskite,,Cu^2+ O V^5+ Cl,3.60E-05,NA,,,,,,,,,
,Zincomenite,Zincomenite,,Zn^2+ Se^3+ O,3.60E-05,NA,,,,,,,,,
,Gunterite,Gunterite,,Na H O V^5+,0,NA,,,,,,,,,
,Hoganite,Hoganite,,Cu^2+ C H O,0,NA,,,,,,,,,
,Hughesite,Hughesite,,Na Al V^5+ O H,0,NA,,,,,,,,,
,Metamunirite,Metamunirite,,Na V^5+ O,0,NA,,,,,,,,,
,Paceite,Paceite,,Ca Cu C H O,0,NA,,,,,,,,,
,Postite,Postite,,Mg H O Al V^5+,0,NA,,,,,,,,,
,Pseudojohannite,Pseudojohannite,,Cu^2+ U^6+ O S^6+ H,0,NA,,,,,,,,,
,Rakovanite,Rakovanite,,Na H V^5+ O,0,NA,,,,,,,,,
,Schindlerite,Schindlerite,,N^3- H Na V^5+ O,0,NA,,,,,,,,,
,Simonkolleite,Simonkolleite,,Zn^2+ O H Cl^1-,0,NA,,,,,,,,,
,Slavkovite,Slavkovite,,Cu^2+ As^5+ O H,0,NA,,,,,,,,,
,Wernerbaurite,Wernerbaurite,,N^3- H Ca V^5+ O,0,NA,,,,,,,,,
,Wheatleyite,Wheatleyite,,Na Cu^2+ C O H,0,NA,,,,,,,,,
,Akatoreite,Akatoreite,,Mn^2+ Al Si O H,,NA,,,,,,,,,
,Billwiseite,Billwiseite,,Sb^3+ Nb^5+ W^6+ O,,NA,,,,,,,,,
,Blossite,Blossite,,Cu^2+ V^5+ O,,NA,,,,,,,,,
,Bluebellite,Bluebellite,,Cu^2+ I^5+ O H Cl,,NA,,,,,,,,,
,Braithwaiteite,Braithwaiteite,,Na Cu^2+ Ti^4+ Sb^5+ O As^5+ H,,NA,,,,,,,,,
,Brezinaite,Brezinaite,,Cr^2+ Cr^3+ S^2-,,NA,,,,,,,,,
,Cavansite,Cavansite,,Ca V^4+ O Si H,,NA,,,,,,,,,
,Chiappinoite-(Y),Chiappinoite-(Y),,Y^3+ Mn^2+ Si O,,NA,,,,,,,,,
,Dickthomssenite,Dickthomssenite,,Mg V^5+ O H,,NA,,,,,,,,,
,Erazoite,Erazoite,,Cu Sn S,,NA,,,,,,,,,
,Fingerite,Fingerite,,Cu^2+ O V^5+,,NA,,,,,,,,,
,Goldquarryite,Goldquarryite,,Cu^2+ Cd^2+ Al P O F H,,NA,,,,,,,,,
,Innsbruckite,Innsbruckite,,Mn^2+ Si O H,,NA,,,,,,,,,
,Jacquesdietrichite,Jacquesdietrichite,,Cu^2+ B O H,,NA,,,,,,,,,
,Joteite,Joteite,,Ca Cu^2+ Al As^5+ O H,,NA,,,,,,,,,
,Munirite,Munirite,,Na V^5+ O H,,NA,,,,,,,,,
,Nashite,Nashite,,Na Ca V^5+ V^4+ O H,,NA,,,,,,,,,
,Paraniite-(Y),Paraniite-(Y),,Ca Y Dy W^6+ O As^5+,,NA,,,,,,,,,
,Pentagonite,Pentagonite,,Ca V^4+ O Si H,,NA,,,,,,,,,
,Ronneburgite,Ronneburgite,,K Mn^2+ V^5+ O,,NA,,,,,,,,,
,Sabelliite,Sabelliite,,Cu^2+ Zn^2+ As^5+ O H,,NA,,,,,,,,,
,Santaclaraite,Santaclaraite,,Ca Mn^2+ Si O H,,NA,,,,,,,,,
,Sarrabusite,Sarrabusite,,Pb^2+ Cu^2+ Se^4+ O Cl,,NA,,,,,,,,,
,Shirozulite,Shirozulite,,K Mn^2+ Si Al O H,,NA,,,,,,,,,
,Steverustite,Steverustite,,Pb^2+ Cu^1+ S^6+ O S^2- H,,NA,,,,,,,,,
,Stoiberite,Stoiberite,,Cu^2+ O V^5+,,NA,,,,,,,,,
,Strakhovite,Strakhovite,,Na Ba Mn^2+ Mn^3+ Si O H F,,NA,,,,,,,,,
,Tusionite,Tusionite,,Mn^2+ Sn^4+ B O,,NA,,,,,,,,,
,Vistepite,Vistepite,,Mn^2+ Sn^4+ B O Si H,,NA,,,,,,,,,
,Ziesite,Ziesite,,Cu^2+ V^5+ O,,NA,,,,,,,,,
,Duftite,Duftite,Adelite,Pb^2+ Cu^2+ As^5+ O H,3200,NA,,,,,,,,,
,Mozartite,Mozartite,Adelite,Ca Mn^3+ Si O H,2400,NA,,,,,,,,,
,Conichalcite,Conichalcite,Adelite,Ca Cu^2+ As^5+ O H,1887,NA,,,,,,,,,
,Austinite,Austinite,Adelite,Ca Zn^2+ As^5+ O H,1349,NA,,,,,,,,,
,Tangeite,Tangeite,Adelite,Ca Cu^2+ V^5+ O H,1060,NA,,,,,,,,,
,Arsendescloizite,Arsendescloizite,Adelite,Pb^2+ Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Hermannroseite,Hermannroseite,Adelite,Ca Cu^2+ P O H,541,NA,,,,,,,,,
,Nickelaustinite,Nickelaustinite,Adelite,Ca Ni^2+ As^5+ O H,354,NA,,,,,,,,,
,Cobaltaustinite,Cobaltaustinite,Adelite,Ca Co^2+ As^5+ O H,327.4,NA,,,,,,,,,
,Gottlobite,Gottlobite,Adelite,Ca Mg V^5+ O H,,NA,,,,,,,,,
Adranosite-(Fe),Adranosite-(Fe),Adranosite-(Fe),Adranosite,N^3- H Na Fe^3+ S^6+ O Cl,259.1,19805,NA,NA,NA,NA,NA,NA,NA,NA,N
,Ajoite,Ajoite,Ajoite,K Cu^2+ Al Si O H,372,NA,,,,,,,,,
Alcaparrosaite,Alcaparrosaite,Alcaparrosaite,Alcaparrosaite,K Ti^4+ Fe^3+ S^6+ O H,,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
,Flinkite,Flinkite,Allactite,Mn^2+ Mn^3+ As^5+ O H,1898,NA,,,,,,,,,
,Allactite,Allactite,Allactite,Mn^2+ As^5+ O H,1890,NA,,,,,,,,,
,Argandite,Argandite,Allactite,Mn^2+ V^5+ O H,100,NA,,,,,,,,,
,Manganiandrosite-(Ce),Manganiandrosite-(Ce),allanite,Mn^2+ Ce^3+ Al Mn^3+ Si O H,,NA,,,,,,,,,
,Manganiandrosite-(La),Manganiandrosite-(La),allanite,Mn^2+ La^3+ Al Mn^3+ Si O H,,NA,,,,,,,,,
,Vanadoandrosite-(Ce),Vanadoandrosite-(Ce),allanite,Mn^2+ Ce^3+ V^3+ Al O Si H,,NA,,,,,,,,,
Alluaudite,Alluaudite,Alluaudite,Alluaudite,Na Mn^2+ Fe^3+ P O,2772,3756,NA,NA,3756,NA,NA,NA,NA,NA,N
,Groatite,Groatite,Alluaudite,Na Ca Mn^2+ P O H,2644,NA,,,,,,,,,
Ferroalluaudite,Ferroalluaudite,Ferroalluaudite,Alluaudite,Na Fe^2+ Fe^3+ P O,2046,,NA,NA,NA,NA,NA,NA,NA,NA,
,Arseniopleite,Arseniopleite,Alluaudite,Na Ca Mn^2+ As^5+ O,1898,NA,,,,,,,,,
,Caryinite,Caryinite,Alluaudite,Na Ca Mn^2+ As^5+ O,1890,NA,,,,,,,,,
Hagendorfite,Hagendorfite,Hagendorfite,Alluaudite,Na Mn^2+ Fe^2+ Fe^3+ P^5+ O,1820,,NA,NA,,NA,NA,NA,NA,NA,
,Erikapohlite,Erikapohlite,Alluaudite,Cu^2+ Ca Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Johillerite,Johillerite,Alluaudite,Na Cu^2+ Mg As^5+ O,541,NA,,,,,,,,,
,Keyite,Keyite,Alluaudite,Cu^2+ Cd^2+ Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,O'danielite,O&#39;danielite,Alluaudite,Na Zn^2+ As^5+ O H,541,NA,,,,,,,,,
,Nickenichite,Nickenichite,Alluaudite,Na Ca Cu^2+ Mg As^5+ O,354,NA,,,,,,,,,
,Canutite,Canutite,Alluaudite,Na Mn^2+ As^5+ O H,174,NA,,,,,,,,,
,Bradaczekite,Bradaczekite,Alluaudite,Na Cu^2+ As^5+ O,3.60E-05,NA,,,,,,,,,
Hatertite,Hatertite,Hatertite,Alluaudite,Na Ca Cu^2+ Fe^3+ As^5+ O,3.60E-05,,NA,,NA,NA,NA,NA,NA,NA,
Yazganite,Yazganite,Yazganite,Alluaudite,Na Mg Fe^3+ As^5+ O H,,,NA,NA,NA,NA,NA,NA,NA,NA,
Bobfergusonite,Bobfergusonite,Bobfergusonite,Alluaudite-Bobfergusonite,Na Mn^2+ Fe^3+ Al P O,2772,FE_SUB,NA,NA,5212,NA,NA,NA,NA,NA,N
,Manitobaite,Manitobaite,Alluaudite-Manitobaite,Na Mn^2+ Al P O,2772,NA,,,,,,,,,
Ferrowyllieite,Ferrowyllieite,Ferrowyllieite,Alluaudite-Wyllieite,Na Fe^2+ Al P O,1702,,NA,NA,NA,NA,NA,NA,NA,NA,
Rosemaryite,Rosemaryite,Rosemaryite,Alluaudite-Wyllieite,Na Mn^2+ Fe^3+ Al P O,1702,,NA,NA,,NA,NA,NA,NA,NA,
Ferrorosemaryite,Ferrorosemaryite,Ferrorosemaryite,Alluaudite-Wyllieite,Na Fe^2+ Fe^3+ Al P O,980,,NA,NA,NA,NA,NA,NA,NA,NA,
Qingheiite-(Fe<sup>2+</sup>),Qingheiite-(Fe2+),Qingheiite-(Fe&lt;sup&gt;2+&lt;/sup&gt;),Alluaudite-Wyllieite,Na Fe^2+ Mg Al P O,630,,NA,NA,NA,NA,NA,NA,NA,NA,
,Qingheiite,Qingheiite,Alluaudite-Wyllieite,Na Mn^2+ Mg Al P O,383.1,NA,,,,,,,,,
Kolitschite,Kolitschite,Kolitschite,Alunite,Pb^2+ Zn^2+ Fe^3+ As^5+ O H,1703,,NA,NA,NA,NA,NA,NA,NA,,
Beaverite-(Cu),Beaverite-(Cu),Beaverite-(Cu),Alunite-Alunite,Pb Cu^2+ Fe^3+ S O H,4000,FE_SUB,NA,CU_SUB,NA,NA,NA,NA,NA,NA,N
Jarosite,Jarosite,Jarosite,Alunite-Alunite,K Fe^3+ S^6+ O H,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
,Osarizawaite,Osarizawaite,Alunite-Alunite,Cu^2+ Pb^2+ Al S^6+ O H,4000,NA,,,,,,,,,
Plumbojarosite,Plumbojarosite,Plumbojarosite,Alunite-Alunite,Pb Fe^3+ S O H,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
Natrojarosite,Natrojarosite,Natrojarosite,Alunite-Alunite,Na Fe^3+ S O H,3640,,NA,NA,NA,NA,NA,NA,NA,NA,
Hydroniumjarosite,Hydroniumjarosite,Hydroniumjarosite,Alunite-Alunite,H O Fe^3+ S^6+,2046,,NA,NA,NA,NA,NA,NA,NA,NA,
Ammoniojarosite,Ammoniojarosite,Ammoniojarosite,Alunite-Alunite,N^3- H Fe^3+ S^6+ O,1000,14580,NA,NA,NA,NA,NA,NA,NA,NA,N
Argentojarosite,Argentojarosite,Argentojarosite,Alunite-Alunite,Ag^1+ Fe^3+ S^6+ O H,443,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Dorallcharite,Dorallcharite,Dorallcharite,Alunite-Alunite,Tl Fe^3+ S^6+ O H,251,,NA,NA,NA,NA,NA,NA,NA,NA,
Beaverite-(Zn),Beaverite-(Zn),Beaverite-(Zn),Alunite-Alunite,Pb^2+ Zn^2+ Fe^3+ S^6+ O H,64,FE_SUB,NA,NA,NA,NA,NA,NA,NA,ZN_SUB,N
Corkite,Corkite,Corkite,Alunite-beudantite,Pb Fe^3+ S O P H,3200,,NA,NA,NA,NA,NA,NA,NA,NA,
Beudantite,Beudantite,Beudantite,Alunite-beudantite,Pb^2+ Fe^3+ As^5+ O S^6+ H,2770,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Kintoreite,Kintoreite,Kintoreite,Alunite-crandallite,Pb Fe^3+ P O H,1861,,NA,NA,NA,NA,NA,NA,NA,NA,
Dussertite,Dussertite,Dussertite,Alunite-crandallite,Ba Fe^3+ As^5+ O H,395,,NA,NA,NA,NA,NA,NA,NA,NA,
Graulichite-(Ce),Graulichite-(Ce),Graulichite-(Ce),Alunite-crandallite,Ce Fe^3+ As^5+ O H,387,,NA,NA,NA,NA,NA,NA,NA,NA,
,Springcreekite,Springcreekite,Alunite-crandallite,Ba V^3+ P O H,,NA,,,,,,,,,
Amarantite,Amarantite,Amarantite,Amarantite,Fe^3+ O S^6+ H,470,10666,NA,NA,NA,NA,NA,NA,NA,NA,N
Hohmannite,Hohmannite,Hohmannite,Amarantite,Fe^3+ O S^6+ H,64,,NA,NA,NA,NA,NA,NA,NA,NA,
Metahohmannite,Metahohmannite,Metahohmannite,Amarantite,Fe^3+ O S^6+ H,38.2,,NA,NA,NA,NA,NA,NA,NA,NA,
Actinolite,Actinolite,Actinolite,Amphibole,Ca Mg Fe^2+ Si O H,4000,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Grunerite,Grunerite,Grunerite,Amphibole,Fe^2+ Si O H,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
Tremolite,Tremolite,Tremolite,Amphibole,Ca Mg Si O H,4000,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferro-actinolite,Ferro-actinolite,Ferro-actinolite,Amphibole,Ca Mg Fe^2+ Si O H,2920,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferro-hornblende,Ferro-hornblende,Ferro-hornblende,Amphibole,Ca Fe^2+ Al Si O H,2720,,NA,NA,NA,NA,NA,NA,NA,NA,
Hastingsite,Hastingsite,Hastingsite,Amphibole,Na Ca Fe^2+ Fe^3+ Si Al O H,2720,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferro-holmquistite,Ferro-holmquistite,Ferro-holmquistite,Amphibole,Li Fe^2+ Al Si O H,2529,,NA,NA,NA,NA,NA,NA,NA,NA,
Arfvedsonite,Arfvedsonite,Arfvedsonite,Amphibole,Na Fe^2+ Fe^3+ Si O H,2500,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
Magnesio-arfvedsonite,Magnesio-arfvedsonite,Magnesio-arfvedsonite,Amphibole,Na Mg Fe^3+ Si O H,2500,,NA,NA,NA,NA,NA,NA,NA,NA,
Potassic-arfvedsonite,Potassic-arfvedsonite,Potassic-arfvedsonite,Amphibole,K Na Fe^2+ Fe^3+ Si O H,2072,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferri-leakeite,Ferri-leakeite,Ferri-leakeite,Amphibole,Na Mg Fe^3+ Li Si O H,2000,,NA,NA,NA,NA,NA,NA,NA,NA,
,Mangani-dellaventuraite,Mangani-dellaventuraite,Amphibole,Na Mg Mn^3+ Li Ti^4+ Si O,2000,NA,,,,,,,,,
Magnesio-hastingsite,Magnesio-hastingsite,Magnesio-hastingsite,Amphibole,Na Ca Mg Fe^3+ Si Al O H,1898,,NA,NA,NA,NA,NA,NA,NA,NA,
Joesmithite,Joesmithite,Joesmithite,Amphibole,Pb^2+ Ca Mg Fe^3+ Si Be O H,1825,,NA,NA,NA,NA,NA,NA,NA,NA,
Magnesio-fluoro-hastingsite,Magnesio-fluoro-hastingsite,Magnesio-fluoro-hastingsite,Amphibole,Na Ca Mg Fe^3+ Si Al O F,1349,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferri-ghoseite,Ferri-ghoseite,Ferri-ghoseite,Amphibole,Na Mn^2+ Mg Fe^3+ Si O H,1000,,NA,NA,,NA,NA,NA,NA,NA,
,Chromio-pargasite,Chromio-pargasite,Amphibole,Na Ca Mg Cr^3+ Si Al O H,541,NA,,,,,,,,,
Ferro-fluoro-pedrizite,Ferro-fluoro-pedrizite,Ferro-fluoro-pedrizite,Amphibole,Na Li Fe^2+ Al Si O F,501,,NA,NA,NA,NA,NA,NA,NA,NA,
Mangano-ferri-eckermannite,Mangano-ferri-eckermannite,Mangano-ferri-eckermannite,Amphibole,Na Mn^2+ Fe^3+ Si O H,445,,NA,NA,,NA,NA,NA,NA,NA,
,Mangano-mangani-ungarettiite,Mangano-mangani-ungarettiite,Amphibole,Na Mn^2+ Mn^3+ Si O,445,NA,,,,,,,,,
Ferri-katophorite,Ferri-katophorite,Ferri-katophorite,Amphibole,Na Ca Mg Fe^3+ Si Al O H,418,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferro-ferri-nybøite,Ferro-ferri-nyboite,Ferro-ferri-nyb&#248;ite,Amphibole,Na Fe^2+ Fe^3+ Si Al O H,413.6,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferro-ferri-fluoro-leakeite,Ferro-ferri-fluoro-leakeite,Ferro-ferri-fluoro-leakeite,Amphibole,Na Fe^2+ Fe^3+ Li Si O F,390,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferri-obertiite,Ferri-obertiite,Ferri-obertiite,Amphibole,Na Mg Fe^3+ Ti^4+ Si O,354,,NA,NA,NA,NA,NA,NA,NA,NA,
Oxo-magnesio-hastingsite,Oxo-magnesio-hastingsite,Oxo-magnesio-hastingsite,Amphibole,Na Ca Mg Fe^3+ Si Al O,354,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferro-ferri-pedrizite,Ferro-ferri-pedrizite,Ferro-ferri-pedrizite,Amphibole,Na Li Fe^2+ Fe^3+ Si O H,307,,NA,NA,NA,NA,NA,NA,NA,NA,
Ferri-fluoro-leakeite,Ferri-fluoro-leakeite,Ferri-fluoro-leakeite,Amphibole,Na Mg Fe^3+ Li Si O F,294,,NA,NA,NA,NA,NA,NA,NA,NA,
Clino-ferri-holmquistite,Clino-ferri-holmquistite,Clino-ferri-holmquistite,Amphibole,Li Mg Fe^3+ Si O H,277,FE_SUB,NA,NA,NA,NA,NA,NA,NA,NA,N
