envComp,gRMSD,valence,type,mineral,amcsdID,atomName,resNum,atomNum,chain,geo,pdb_Min,pdb_Pro
CU1O3,0.02,0.44,Mineral,Ransomite,0000203,CU,11,11,A,spv,Ransomite-0000203,nan
CU1AU3,0.00,0.00,Mineral,Auricupride,0011894,CU,19,19,A,spv,Auricupride-0011894,nan
FE1S4,0.23,1.82,Mineral,Djerfisherite,0006153,FE,12,12,A,tet,Djerfisherite-0006153,nan
CU1O3,nan,0.86,Mineral,Ashburtonite,0001412,CU,48,48,A,irr,Ashburtonite-0001412,nan
MN1O2,nan,0.60,Mineral,Manganite,0013942,MN,8,8,A,irr,Manganite-0013942,nan
CU1CL3O3,0.45,0.44,Mineral,Belloite,0011830,CU,0,0,A,oct,Belloite-0011830,nan
CU1S4,0.39,0.85,Mineral,Gladite,0006075,CU,0,0,A,tet,Gladite-0006075,nan
FE1S2,0.28,0.59,Mineral,Bornite,0003822,FE,41,41,A,trv,Bornite-0003822,nan
MN1O6,0.36,0.71,Mineral,Hyttsjoite,0001799,MN,142,142,A,oct,Hyttsjoite-0001799,nan
MN1O2,nan,1.38,Mineral,Groutite,0013941,MN,4,4,A,irr,Groutite-0013941,nan
CU1O2,nan,0.42,Mineral,Murdochite,0009907,CU,24,24,A,irr,Murdochite-0009907,nan
NI1S2,0.69,0.32,Mineral,Vaesite,0010990,NI,12,12,A,trv,Vaesite-0010990,nan
W1O6,0.52,3.93,Mineral,Raspite,0009580,W,1,1,A,oct,Raspite-0009580,nan
V1O4,0.09,2.83,Mineral,Volborthite,0018666,V,12,12,A,tet,Volborthite-0018666,nan
CU1O5,0.28,1.99,Mineral,Radovanite,0012037,CU,11,11,A,spy,Radovanite-0012037,nan
CU1O4,0.17,1.18,Mineral,Joteite,0019980,CU,2,2,A,spl,Joteite-0019980,nan
NI1SN2,nan,0.00,Mineral,Nisnite,0018385,NI,34,34,A,irr,Nisnite-0018385,nan
NI1PB4S2,0.21,0.00,Mineral,Shandite,0000051,NI,4,4,A,oct,Shandite-0000051,nan
MN1O3,nan,0.61,Mineral,Roeblingite,0000963,MN,46,46,A,irr,Roeblingite-0000963,nan
MN1O3,nan,0.27,Mineral,Pyrophanite,0007448,MN,19,19,A,irr,Pyrophanite-0007448,nan
MN1BE1O2,nan,0.00,Mineral,Harstigite,0010962,MN,83,83,A,irr,Harstigite-0010962,nan
FE1O6,0.19,0.34,Mineral,Ferrotychite,0012463,FE,10,10,A,oct,Ferrotychite-0012463,nan
MN1O6,0.33,1.38,Mineral,Groutite,0013941,MN,0,0,A,oct,Groutite-0013941,nan
FE1O2,nan,0.70,Mineral,Carminite,0014520,FE,40,40,A,irr,Carminite-0014520,nan
CO1O2,nan,0.57,Mineral,Heterogenite,0014459,CO,5,5,A,irr,Heterogenite-0014459,nan
CU1PD7,0.00,0.00,Mineral,Skaergaardite,0011491,CU,27,27,A,cuv,Skaergaardite-0011491,nan
CU1S4,0.11,0.33,Mineral,Stannite,0010546,CU,4,4,A,tet,Stannite-0010546,nan
MN1O4,nan,0.42,Mineral,Tienshanite,0005580,MN,858,858,A,irr,Tienshanite-0005580,nan
V1O4,0.12,5.19,Mineral,Blossite,0001075,V,7,7,A,tet,Blossite-0001075,nan
FE1O6,0.21,3.15,Mineral,Scorodite,0018660,FE,0,0,A,oct,Scorodite-0018660,nan
FE1O6,0.41,0.88,Mineral,Ferberite,0000231,FE,1,1,A,oct,Ferberite-0000231,nan
FE1O5,0.23,2.01,Mineral,Pseudolaueite,0000193,FE,0,0,A,spy,Pseudolaueite-0000193,nan
FE1O6,0.50,0.31,Mineral,Schwertmannite,0018670,FE,0,0,A,oct,Schwertmannite-0018670,nan
MN1O6,0.24,1.94,Mineral,Kolicite,0000783,MN,2,2,A,oct,Kolicite-0000783,nan
FE1S6,0.38,1.18,Mineral,Troilite,0009769,FE,11,11,A,oct,Troilite-0009769,nan
CU1AU3,0.00,0.00,Mineral,Auricupride,0011894,CU,30,30,A,spv,Auricupride-0011894,nan
