Volborthite_0018666.V_12_12_A.tet.pdb,V,O,1.83,V,O2,1.0,1.0,UNK,UNK,12,9,A, 
Belloite_0011830.Cu_0_0_A.oct.pdb,CU,O,2.0,CU,O-H,1.0,1.0,UNK,UNK,0,7,A, 
Raspite_0009580.W_1_1_A.oct.pdb,W,O,1.75,W,O3,1.0,1.0,UNK,UNK,1,3,A, 
Volborthite_0018666.V_12_12_A.tet.pdb,V,O,1.76,V,O1,1.0,1.0,UNK,UNK,12,27,A, 
Corkite_0014810.Fe_10_10_A.oct.pdb,FE,O,2.03,FE,O-H1,1.0,1.0,UNK,UNK,10,1,A, 
Joteite_0019980.Cu_2_2_A.spl.pdb,CU,O,1.95,CU,O-H,1.0,1.0,UNK,UNK,2,13,A, 
Raspite_0009580.W_1_1_A.oct.pdb,W,O,2.17,W,O1,1.0,1.0,UNK,UNK,1,20,A, 
Belloite_0011830.Cu_0_0_A.oct.pdb,CU,CL,2.73,CU,CL,1.0,1.0,UNK,UNK,0,2,A, 
Ferrocarpholite_0017757.Fe_15_15_A.irr.pdb,FE,O,2.13,FE,O4,1.0,1.0,UNK,UNK,15,7,A, 
Vaesite_0010990.Ni_12_12_A.trv.pdb,NI,S,2.4,NI,S,1.0,1.0,UNK,UNK,12,3,A, 
Campigliaite_0000866.Cu3_2_2_A.oct.pdb,CU,O,2.16,CU3,O2,1.0,1.0,UNK,UNK,2,7,A, 
Gudmundite_0000020.Fe_6_6_A.irr.pdb,FE,SB,2.6,FE,SB,1.0,1.0,UNK,UNK,6,10,A, 
Radovanite_0012037.Cu_11_11_A.spy.pdb,CU,O,2.68,CU,O-H4,1.0,1.0,UNK,UNK,11,15,A, 
Raspite_0009580.W_1_1_A.oct.pdb,W,O,1.83,W,O4,1.0,1.0,UNK,UNK,1,4,A, 
Murdochite_0009907.Cu_24_24_A.irr.pdb,CU,O,1.93,CU,O,1.0,1.0,UNK,UNK,24,11,A, 
Scorodite_0018660.Fe_0_0_A.oct.pdb,FE,O,2.04,FE,OW2,1.0,1.0,UNK,UNK,0,9,A, 
Ashburtonite_0001412.Cu_48_48_A.irr.pdb,CU,O,1.93,CU,O1,1.0,1.0,UNK,UNK,48,61,A, 
Shandite_0000051.Ni_4_4_A.oct.pdb,NI,S,2.28,NI,S,1.0,1.0,UNK,UNK,4,5,A, 
Roeblingite_0000963.Mn_46_46_A.irr.pdb,MN,O,2.21,MN,O5,1.0,1.0,UNK,UNK,46,75,A, 
Nisnite_0018385.Ni_34_34_A.irr.pdb,NI,SN,2.64,NI,SN,1.0,1.0,UNK,UNK,34,43,A, 
